Condition,Mean,Std Dev,Min,Max,Median,CI_Lower,CI_Upper
Baseline (with encoder),0.783,0.014047538337136999,0.755,0.8,0.7875000000000001,0.7729509964383932,0.7930490035616069
Ablation (without encoder),0.7823,0.01967542178003366,0.748,0.806,0.7845,0.7682250511514195,0.7963749488485805
